Datum,Provincienaam,Provinciecode,Type,Aantal,AantalCumulatief
2020-02-27,Drenthe,22.0,Overleden,0.0,0.0
2020-02-28,Drenthe,22.0,Overleden,0.0,0.0
2020-02-29,Drenthe,22.0,Overleden,0.0,0.0
2020-03-01,Drenthe,22.0,Overleden,0.0,0.0
2020-03-02,Drenthe,22.0,Overleden,0.0,0.0
2020-03-03,Drenthe,22.0,Overleden,0.0,0.0
2020-03-04,Drenthe,22.0,Overleden,0.0,0.0
2020-03-05,Drenthe,22.0,Overleden,0.0,0.0
2020-03-06,Drenthe,22.0,Overleden,0.0,0.0
2020-03-07,Drenthe,22.0,Overleden,0.0,0.0
2020-03-08,Drenthe,22.0,Overleden,0.0,0.0
2020-03-09,Drenthe,22.0,Overleden,0.0,0.0
2020-03-10,Drenthe,22.0,Overleden,0.0,0.0
2020-03-11,Drenthe,22.0,Overleden,0.0,0.0
2020-03-12,Drenthe,22.0,Overleden,0.0,0.0
2020-03-13,Drenthe,22.0,Overleden,0.0,0.0
2020-03-14,Drenthe,22.0,Overleden,0.0,0.0
2020-03-15,Drenthe,22.0,Overleden,0.0,0.0
2020-03-16,Drenthe,22.0,Overleden,0.0,0.0
2020-03-17,Drenthe,22.0,Overleden,0.0,0.0
2020-03-18,Drenthe,22.0,Overleden,0.0,0.0
2020-03-19,Drenthe,22.0,Overleden,0.0,0.0
2020-03-20,Drenthe,22.0,Overleden,0.0,0.0
2020-03-21,Drenthe,22.0,Overleden,0.0,0.0
2020-03-22,Drenthe,22.0,Overleden,0.0,0.0
2020-03-23,Drenthe,22.0,Overleden,0.0,0.0
2020-03-24,Drenthe,22.0,Overleden,0.0,0.0
2020-03-25,Drenthe,22.0,Overleden,2.0,2.0
2020-03-26,Drenthe,22.0,Overleden,0.0,2.0
2020-03-27,Drenthe,22.0,Overleden,0.0,2.0
2020-03-28,Drenthe,22.0,Overleden,1.0,3.0
2020-03-29,Drenthe,22.0,Overleden,0.0,3.0
2020-03-30,Drenthe,22.0,Overleden,0.0,3.0
2020-03-31,Drenthe,22.0,Overleden,0.0,3.0
2020-04-01,Drenthe,22.0,Overleden,0.0,3.0
2020-04-02,Drenthe,22.0,Overleden,3.0,6.0
2020-04-03,Drenthe,22.0,Overleden,2.0,8.0
2020-04-04,Drenthe,22.0,Overleden,2.0,10.0
2020-04-05,Drenthe,22.0,Overleden,1.0,11.0
2020-04-06,Drenthe,22.0,Overleden,2.0,13.0
2020-04-07,Drenthe,22.0,Overleden,1.0,14.0
2020-04-08,Drenthe,22.0,Overleden,0.0,14.0
2020-04-09,Drenthe,22.0,Overleden,0.0,14.0
2020-04-10,Drenthe,22.0,Overleden,0.0,14.0
2020-04-11,Drenthe,22.0,Overleden,0.0,14.0
2020-04-12,Drenthe,22.0,Overleden,2.0,16.0
2020-04-13,Drenthe,22.0,Overleden,0.0,16.0
2020-04-14,Drenthe,22.0,Overleden,0.0,16.0
2020-04-15,Drenthe,22.0,Overleden,0.0,16.0
2020-04-16,Drenthe,22.0,Overleden,1.0,17.0
2020-04-17,Drenthe,22.0,Overleden,3.0,20.0
2020-04-18,Drenthe,22.0,Overleden,1.0,21.0
2020-04-19,Drenthe,22.0,Overleden,0.0,21.0
2020-04-20,Drenthe,22.0,Overleden,2.0,23.0
2020-04-21,Drenthe,22.0,Overleden,0.0,23.0
2020-04-22,Drenthe,22.0,Overleden,0.0,23.0
2020-04-23,Drenthe,22.0,Overleden,1.0,24.0
2020-04-24,Drenthe,22.0,Overleden,0.0,24.0
2020-04-25,Drenthe,22.0,Overleden,0.0,24.0
2020-04-26,Drenthe,22.0,Overleden,0.0,24.0
2020-04-27,Drenthe,22.0,Overleden,0.0,24.0
2020-04-28,Drenthe,22.0,Overleden,0.0,24.0
2020-04-29,Drenthe,22.0,Overleden,0.0,24.0
2020-04-30,Drenthe,22.0,Overleden,1.0,25.0
2020-05-01,Drenthe,22.0,Overleden,0.0,25.0
2020-05-02,Drenthe,22.0,Overleden,1.0,26.0
2020-05-03,Drenthe,22.0,Overleden,0.0,26.0
2020-05-04,Drenthe,22.0,Overleden,2.0,28.0
2020-05-05,Drenthe,22.0,Overleden,0.0,28.0
2020-05-06,Drenthe,22.0,Overleden,0.0,28.0
2020-05-07,Drenthe,22.0,Overleden,0.0,28.0
2020-05-08,Drenthe,22.0,Overleden,0.0,28.0
2020-05-09,Drenthe,22.0,Overleden,0.0,28.0
2020-05-10,Drenthe,22.0,Overleden,1.0,29.0
2020-05-11,Drenthe,22.0,Overleden,1.0,30.0
2020-05-12,Drenthe,22.0,Overleden,1.0,31.0
2020-05-13,Drenthe,22.0,Overleden,3.0,34.0
2020-05-14,Drenthe,22.0,Overleden,0.0,34.0
2020-05-15,Drenthe,22.0,Overleden,1.0,35.0
2020-05-16,Drenthe,22.0,Overleden,0.0,35.0
2020-05-17,Drenthe,22.0,Overleden,1.0,36.0
2020-05-18,Drenthe,22.0,Overleden,0.0,36.0
2020-05-19,Drenthe,22.0,Overleden,0.0,36.0
2020-05-20,Drenthe,22.0,Overleden,0.0,36.0
2020-05-21,Drenthe,22.0,Overleden,0.0,36.0
2020-05-22,Drenthe,22.0,Overleden,2.0,38.0
2020-05-23,Drenthe,22.0,Overleden,0.0,38.0
